"KOFIA_FUND_CODE","KFR_GRADE","RLZ_RT12","FP_KRN_NAME","SALE_AMT_M1","FP_TP","SALE_AMT_M3","NAV_UPDOWN_PRICE","SALE_AMT_M6","LRG_TYPE_TP_NAME","SALE_FUND_YN","RLZ_RT60","FNGUIDE_GRADE","RLZ_RT6","RLZ_RT3","RLZ_RT1","INVST_RISK_GRADE_TP","STDDEVT_M6","DELEGATE_KOFIA_FUND_CODE","NAV","STDDEVT_M3","STDDEVT_M1","LRG_TYPE_CODE","ACCM_RT","FUND_BAL_QTY_M6","FP_CLASS_TP","FUND_BAL_QTY_M3","TOTAL_COUNT","FUND_BAL_QTY_M1","AMC_CODE","FIRST_SETUP_DATE","RECOMMEND_FUND_YN","SEQ","MNSTAR_GRADE","FP_CODE","NAV_STD_DATE","TYPE_NAME","FUND_BAL_QTY_M1_CHK","EVENT_FUND_YN","STD_DATE","SALE_COMMISSION_RATE","LRG_TYPE_NAME","INVTRST_DETAIL_NAME","INVTRST_DETAIL_CODE","NAV_UPDOWN_RATE","RLZ_RT36","STDDEVT_Y3","OP_SCALE_GRADE_NAME","STDDEVT_Y1","INDIRECT_INVST_CODE","TOTAL_FEE","OP_FIRST_SETUP_DATE","OP_NETVALUE","FUND_GRADE_STD_YYMM","AMC_ABRV_NAME","TYPE_CODE","ZEROIN_GRADE","OP_FUND_CODE","SALE_START_DATE","AFRCV_COMMISSION_RATE"
"KR5234AU6118",2,-2.08,"IBK 골드마이닝 증권 자투자신탁 1호[주식] S",-0.9,"10",1.81,0.75,-0.03,"해외","Y",8.28,3,0.56,16.82,10.33,"1",22.72,"KR5234676173",963.48,19.72,18.32,"60",-35.57,0.1,"11",0.41,1914,0.3,"234","20070413",NA,950,0,"1158350","20181228","기초소재섹터",29571078,"N","20181228",0,"주식형",NA,"61",0.08,36.09,28.78,"초소형급",18.48,"01",1.44,"20070413",90,"201812","IBK자산운용","60180",4,"KR5234676157","20140811",1.5
"K55234BL3394",2,-2.08,"IBK 골드마이닝 증권 자투자신탁 1호[주식]S-P",-0.9,"10",1.81,0.78,-0.03,"해외","Y",8.28,3,0.56,16.82,10.33,"2",22.72,"KR5234676173",1001.97,19.72,18.32,"60",-35.57,0.35,"12",0.36,1914,-0.02,"234","20070413",NA,951,0,"1158359","20181228","기초소재섹터",-2259038,"N","20181228",0,"주식형","연금","77",0.08,36.09,28.78,"초소형급",18.48,"01",1.36,"20070413",90,"201812","IBK자산운용","60180",4,"KR5234676157","20170123",0
"KR5210AQ7672",3,-7.99,"신한BNPP 골드증권투자신탁제1호 [주식] S",0.92,"10",2.95,-6.67,11.4,"해외","Y",-6.06,3,-4.06,10.07,6.26,"1",20.3,"KR5219756172",878.65,17.9,16.33,"60",-30.82,0.23,"11",0.08,1914,0.06,"210","20071102",NA,941,0,"1127350","20181228","기초소재섹터",6173180,"N","20181228",0,"주식형",NA,"61",-0.75,30.54,24.94,"소형급",17.31,"01",1.04,"20071102",228,"201812","신한BNP파리바자산운용","60180",4,"KR5219756164","20140418",1.5
"K55232BI6634",0,39.71,"NH-Amundi 코리아2배인버스레버리지증권투자신탁[주식-파생재간접형]ClassS",-5.81,"10",-169.97,-23.04,-151.25,"국내","Y",NA,0,26.72,28.74,5.56,"1",29.41,"K55232BI6592",837.47,35.09,21.16,"29",-19.73,15.32,"11",9.31,1914,11.67,"232","20161031",NA,1507,0,"8133650","20181228","베어마켓",1166855391,"N","20181228",0,"기타",NA,"61",-2.68,NA,NA,NA,30.48,"07",0.835,"20161103",141,NA,"NH-Amundi자산운용","29090",0,"K55232BI6568","20161205",0
"K55223BI3582",0,38.38,"KB 코리아 인버스 2배 레버리지 증권 투자신탁(주식-파생재간접형)S클래스",-13.06,"10",-83.05,-22.9,-100.81,"국내","Y",NA,0,26.16,28.31,5.51,"1",29.23,"K55223BI3558",808.39,34.81,21.12,"29",-17.63,-0.72,"11",-7.72,1914,0.74,"223","20161021",NA,1487,0,"8133750","20181228","베어마켓",73544644,"N","20181228",0,"기타",NA,"61",-2.75,NA,NA,NA,30.17,"07",0.845,"20161021",127,NA,"KB자산운용","29090",0,"K55223BI3525","20161205",0
"KR5366AO8484",3,-18.62,"블랙록 월드골드증권자투자신탁 (주식-재간접형)(H) S",13.29,"10",33.88,-0.43,44.5,"해외","Y",-5.52,0,-7.82,4.55,3.69,"1",21.28,"KR5366865842",830.8,18.44,17.51,"60",-35.43,0.6,"11",2.18,1914,0.22,"366","20080918",NA,948,0,"8103350","20181228","기초소재섹터",22327690,"N","20181228",0,"주식형",NA,"61",-0.05,18.05,30.65,"중형급",19.68,"10",0.815,"20080918",658,"201812","블랙록자산운용","60180",4,"KR5366876831","20140418",1.5
"K55366B44703",3,-18.62,"블랙록 월드골드증권자투자신탁 (주식-재간접형)(H) S-P",13.29,"10",33.88,-0.63,44.5,"해외","Y",-5.52,0,-7.82,4.55,3.69,"2",21.28,"KR5366865842",1201.92,18.44,17.51,"60",-35.43,1.1,"12",0.58,1914,0.13,"366","20080918",NA,949,0,"8103359","20181228","기초소재섹터",12926725,"N","20181228",0,"주식형","연금","77",-0.05,18.05,30.65,"중형급",19.68,"10",0.745,"20080918",658,"201812","블랙록자산운용","60180",4,"KR5366876831","20150727",0
"K55206BU2555",0,NA,"키움 현대차그룹과함께증권자투자신탁제1호 [주식]C-Pe",-0.62,"10",-1.14,14.08,-2.92,"국내","Y",NA,0,-8.24,-11.49,3.69,"3",19.6,"K55206BU2555",847.28,25.84,14.31,"20",-15.27,0.13,"07",0.14,1914,0,"206","20110523",NA,1888,0,"1142696","20181228","테마주식",27616,"N","20181228",0,"주식형","연금","77",1.69,NA,NA,"초소형급",NA,"01",1.2,"20110523",42,NA,"키움투자자산운용","20040",0,"KR5206A31649","20171120",0
"KR5206AQ7363",0,-12.89,"키움 현대차그룹과함께증권자투자신탁제1호 [주식] S",-0.62,"10",-1.14,10.77,-2.92,"국내","Y",-39.89,5,-8.5,-11.62,3.65,"2",19.62,"KR5206A31656",636.5,25.86,14.31,"20",-49.89,-0.26,"11",0.13,1914,-0.2,"206","20110523",NA,1550,5,"1142650","20181228","테마주식",-19646155,"N","20181228",0,"주식형",NA,"61",1.72,-23.39,15.38,"초소형급",19.27,"01",1.1,"20110523",42,NA,"키움투자자산운용","20040",0,"KR5206A31649","20140418",1.5
"KR5223AP4402",0,-5.06,"KB 스타골드특별자산투자신탁 (금-파생형) S",-0.46,"10",7.98,0.59,3.12,"해외","Y",-7.18,0,-0.87,5.39,3.48,"3",8.86,"KR5223815634",916.08,8.37,6.16,"65",15.8,-3.97,"11",-0.43,1914,0.08,"223","20080527",NA,789,0,"6100650","20181228","커머더티",8005536,"N","20181228",0,"커머더티형",NA,"61",0.06,7.92,13.33,"대형급",9.63,"11",0.892,"20080527",259,"201812","KB자산운용","65010",4,"KR5223837968","20140418",1.5
