"title","fund1","fund2","fund3","fund4","fund5","date"
"최재웅의 삼성솔루션 - 1","삼성 인덱스플러스증권투자신탁 제1호[주식-파생형]S","삼성 글로벌선진국증권자투자신탁H [주식] S","삼성 코리아중기채권증권자투자신탁 제1호[채권]S","삼성 글로벌채권증권자투자신탁H[채권]S",NA,"2018.12.30"
"우르부르부랑의 업다운폴리오 - 1","KB 브라질증권자투자신탁(주식)S-P","키움 글로벌모기지인컴부동산투자신탁제1호[재간접형]S-P",NA,NA,NA,"2018.12.28"
"치천의 업다운폴리오 - 1","한국투자 연금베트남증권자투자신탁 (주식혼합) S-P","KB 브라질증권자투자신탁(주식)S-P",NA,NA,NA,"2018.12.27"
"SP_0003725의 업다운폴리오 - 1","한국밸류 10년투자100세행복증권자투자신탁(주식)종류S","IBK 베트남플러스아시아증권투자신탁 [주식] S","미래에셋 베트남증권투자회사1호 (주식혼합) S",NA,NA,"2018.12.27"
"mumu의 카트폴리오 - 1","삼성 미국인덱스증권자투자신탁UH [주식] S","신한BNPP 스노우볼인컴증권투자신탁[채권혼합]S","미래에셋 미국블루칩인덱스증권투자신탁1호 (주식) S",NA,NA,"2018.12.27"
"연금펀드","유진 챔피언단기채증권자투자신탁(채권)ClassS-P","한국투자 크레딧포커스증권자투자신탁1호 (채권) S-P","동양 하이플러스채권증권자투자신탁1호 (채권) S-P","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S-PRS","AB 미국그로스증권투자신탁 (주식-재간접형) S-P","2018.12.26"
"로슈의 업다운폴리오 - 1","블랙록 미국달러하이일드증권투자신탁 (채권-재간접형)(H) S","에셋플러스 글로벌리치투게더30증권자투자신탁1호[채권혼합]종류S","키움 글로벌모기지인컴부동산투자신탁제1호[재간접형]S",NA,NA,"2018.12.24"
"이형민의 삼성솔루션 - 1","삼성 인덱스플러스증권투자신탁 제1호[주식-파생형]S","삼성 글로벌선진국증권자투자신탁H [주식] S","삼성 코리아중기채권증권자투자신탁 제1호[채권]S","삼성 글로벌채권증권자투자신탁H[채권]S",NA,"2018.12.23"
"쿠쿠리의 업다운폴리오 - 2","대신 KOSPI200인덱스증권자투자신탁 [주식-파생형] Ce","현대인베스트먼트 코넥스공모주하이일드증권투자신탁1호(채권혼합)S","미래에셋 베트남증권투자회사1호 (주식혼합) S",NA,NA,"2018.12.22"
"kukuri의 업다운폴리오 - 1","대신 KOSPI200인덱스증권자투자신탁 [주식-파생형] Ce","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)","미래에셋 베트남증권투자회사1호 (주식혼합) S",NA,NA,"2018.12.21"
"별앤하늘의 업다운폴리오 - 1","KB 브라질증권자투자신탁(주식)S","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S",NA,NA,NA,"2018.12.21"
"cozydaniel의 업다운폴리오 - 1","멀티에셋 삼바브라질증권자투자신탁 [주식] S","미래에셋 브라질업종대표증권자투자신탁1호 (주식) S","KB 브라질증권자투자신탁(주식)S",NA,NA,"2018.12.17"
"목돈굴리기 포트폴리오1","삼성 미국인덱스증권자투자신탁H [주식] S","동양 하이플러스채권증권자투자신탁1호 (채권) S","피델리티 글로벌테크놀로지증권자투자신탁 (주식-재간접형) S","미래에셋 인도중소형포커스증권자투자신탁1호 (주식) S",NA,"2018.12.16"
"쀼캬의 업다운폴리오 - 1","미래에셋 이머징솔루션증권자투자신탁(주식-재간접형)종류S","신한BNPP 장기국공채증권자투자신탁제1호 [채권] S","IBK 베트남플러스아시아증권투자신탁 [주식] S",NA,NA,"2018.12.12"
"의 삼성솔루션 - 1","삼성 인덱스플러스증권투자신탁 제1호[주식-파생형]S","삼성 글로벌선진국증권자투자신탁H [주식] S","삼성 코리아중기채권증권자투자신탁 제1호[채권]S","삼성 글로벌채권증권자투자신탁H[채권]S",NA,"2018.12.10"
"인총선생의 업다운폴리오 - 3","한국투자 베트남증권자투자신탁1호 (주식혼합) S","한국투자 코스닥인버스증권투자신탁(주식-재간접파생형)(S)",NA,NA,NA,"2018.12.10"
